Job	Age	f_medincome	f_numprofiles	m_medincome	m_numprofiles	
artistic / musical / writer	18	25000	9	20000	5	
artistic / musical / writer	19	20000	15	20000	11	
artistic / musical / writer	20	30000	24	20000	45	
artistic / musical / writer	21	20000	41	20000	36	
artistic / musical / writer	22	20000	69	20000	64	
artistic / musical / writer	23	20000	90	20000	114	
artistic / musical / writer	24	20000	86	20000	132	
artistic / musical / writer	25	20000	106	20000	133	
artistic / musical / writer	26	20000	112	40000	139	
artistic / musical / writer	27	20000	115	30000	154	
artistic / musical / writer	28	20000	98	50000	156	
artistic / musical / writer	29	20000	82	40000	141	
artistic / musical / writer	30	30000	79	35000	123	
artistic / musical / writer	31	40000	66	45000	132	
artistic / musical / writer	32	35000	84	50000	106	
artistic / musical / writer	33	50000	55	45000	107	
artistic / musical / writer	34	60000	45	50000	76	
artistic / musical / writer	35	60000	58	70000	84	
artistic / musical / writer	36	40000	58	60000	70	
artistic / musical / writer	37	50000	41	80000	66	
artistic / musical / writer	38	30000	40	70000	48	
artistic / musical / writer	39	70000	36	80000	52	
artistic / musical / writer	40	65000	35	90000	42	
artistic / musical / writer	41	40000	35	30000	47	
artistic / musical / writer	42	60000	37	55000	53	
artistic / musical / writer	43	45000	30	30000	36	
artistic / musical / writer	44	65000	27	25000	34	
artistic / musical / writer	45	35000	29	55000	34	
artistic / musical / writer	46	45000	19	65000	28	
artistic / musical / writer	47	60000	18	75000	30	
artistic / musical / writer	48	100000	13	50000	27	
artistic / musical / writer	49			50000	26	
artistic / musical / writer	50	50000	23	80000	21	
artistic / musical / writer	51	50000	9	65000	24	
artistic / musical / writer	52	30000	19	100000	16	
artistic / musical / writer	53			35000	8	
artistic / musical / writer	54	50000	11	30000	15	
artistic / musical / writer	55			35000	13	
artistic / musical / writer	56	50000	17	50000	17	
artistic / musical / writer	57	75000	19	60000	9	
artistic / musical / writer	58	70000	9			
artistic / musical / writer	59	60000	15	60000	17	
artistic / musical / writer	60	70000	12	80000	10	
artistic / musical / writer	61	80000	12	90000	7	
artistic / musical / writer	62	30000	12	50000	7	
artistic / musical / writer	63			80000	6	
artistic / musical / writer	65	40000	10	50000	7	
artistic / musical / writer	66	20000	3	50000	7	
artistic / musical / writer	67	40000	5	30000	2	
artistic / musical / writer	68			50000	6	
artistic / musical / writer	69			20000	2	
banking / financial / real estate	20	40000	3			
banking / financial / real estate	21	100000	5	20000	6	
banking / financial / real estate	22	20000	16			
banking / financial / real estate	23			70000	45	
banking / financial / real estate	24	30000	42	70000	83	
banking / financial / real estate	25	65000	42	70000	119	
banking / financial / real estate	26	50000	54	60000	101	
banking / financial / real estate	27	80000	42	100000	128	
banking / financial / real estate	28	70000	38	100000	91	
banking / financial / real estate	29	55000	43	80000	90	
banking / financial / real estate	30	70000	38	100000	89	
banking / financial / real estate	31	65000	40	100000	77	
banking / financial / real estate	32	65000	39	100000	67	
banking / financial / real estate	33	50000	36	80000	64	
banking / financial / real estate	34	60000	34	125000	63	
banking / financial / real estate	35	75000	29	50000	39	
banking / financial / real estate	36	80000	36	100000	44	
banking / financial / real estate	37	70000	26	115000	21	
banking / financial / real estate	38	50000	27	70000	33	
banking / financial / real estate	39	70000	14	80000	19	
banking / financial / real estate	40	35000	19	125000	27	
banking / financial / real estate	41			110000	30	
banking / financial / real estate	42	85000	12	100000	24	
banking / financial / real estate	43	80000	13	125000	18	
banking / financial / real estate	44	95000	15	100000	17	
banking / financial / real estate	45			100000	13	
banking / financial / real estate	46	100000	8	125000	19	
banking / financial / real estate	47	80000	15			
banking / financial / real estate	48	40000	6	125000	14	
banking / financial / real estate	49	50000	8			
banking / financial / real estate	50			100000	5	
banking / financial / real estate	51			80000	7	
banking / financial / real estate	54			150000	9	
banking / financial / real estate	55			100000	3	
banking / financial / real estate	56	80000	5	95000	6	
banking / financial / real estate	57			100000	8	
banking / financial / real estate	58			150000	4	
banking / financial / real estate	59			80000	4	
banking / financial / real estate	62			80000	1	
banking / financial / real estate	64	60000	2			
banking / financial / real estate	66			150000	2	
clerical / administrative	20	20000	6	20000	2	
clerical / administrative	21	20000	8			
clerical / administrative	22	20000	9	20000	9	
clerical / administrative	23	20000	22	20000	9	
clerical / administrative	24	20000	30	20000	8	
clerical / administrative	25	30000	45	30000	15	
clerical / administrative	26	30000	40	25000	20	
clerical / administrative	27	40000	24	25000	18	
clerical / administrative	28	30000	43	30000	14	
clerical / administrative	29	30000	31	40000	16	
clerical / administrative	30	40000	23	20000	13	
clerical / administrative	31	40000	27	30000	15	
clerical / administrative	32	40000	25	30000	5	
clerical / administrative	33	40000	24	45000	14	
clerical / administrative	34	45000	20	20000	5	
clerical / administrative	35	40000	12	20000	9	
clerical / administrative	36	45000	21	30000	6	
clerical / administrative	37	35000	17	40000	8	
clerical / administrative	38	40000	14	40000	3	
clerical / administrative	39	50000	9			
clerical / administrative	40	20000	8	75000	4	
clerical / administrative	41	40000	7	30000	3	
clerical / administrative	42	40000	11	40000	3	
clerical / administrative	43			30000	4	
clerical / administrative	44	25000	4	45000	2	
clerical / administrative	45	60000	7			
clerical / administrative	46			20000	4	
clerical / administrative	47	45000	8			
clerical / administrative	48	50000	4	60000	3	
clerical / administrative	49	30000	5	50000	2	
clerical / administrative	51	20000	5			
clerical / administrative	52	70000	5			
clerical / administrative	55	65000	9			
clerical / administrative	56	60000	6			
clerical / administrative	58	30000	3			
clerical / administrative	59	60000	3			
clerical / administrative	61			35000	2	
clerical / administrative	65	20000	1			
computer / hardware / software	20			20000	11	
computer / hardware / software	21	70000	6	70000	35	
computer / hardware / software	22	30000	6	60000	83	`
computer / hardware / software	23			70000	148	
computer / hardware / software	24	40000	29	80000	205	
computer / hardware / software	25	80000	20	70000	244	
computer / hardware / software	26	55000	36	70000	284	
computer / hardware / software	27	40000	35	80000	249	
computer / hardware / software	28	80000	25	80000	276	
computer / hardware / software	29	80000	36	100000	240	
computer / hardware / software	30	65000	28	80000	253	
computer / hardware / software	31	85000	22	80000	215	
computer / hardware / software	32	80000	29	100000	195	
computer / hardware / software	33	100000	35	100000	176	
computer / hardware / software	34	80000	23	100000	150	
computer / hardware / software	35	70000	29	100000	149	
computer / hardware / software	36	40000	19	100000	123	
computer / hardware / software	37	90000	25	100000	111	
computer / hardware / software	38	90000	35	100000	122	
computer / hardware / software	39			100000	104	
computer / hardware / software	40	90000	17	100000	82	
computer / hardware / software	41	60000	16	100000	71	
computer / hardware / software	42	20000	13	100000	86	
computer / hardware / software	43	90000	11	100000	76	
computer / hardware / software	44	150000	18	100000	57	
computer / hardware / software	45	70000	11	100000	43	
computer / hardware / software	46	70000	7	100000	33	
computer / hardware / software	47			150000	40	
computer / hardware / software	48	100000	3	100000	36	
computer / hardware / software	49	80000	6	100000	22	
computer / hardware / software	50	30000	7	100000	22	
computer / hardware / software	51	100000	4	90000	16	
computer / hardware / software	52			100000	15	
computer / hardware / software	53			150000	6	
computer / hardware / software	54	100000	2	70000	10	
computer / hardware / software	55			80000	11	
computer / hardware / software	56			80000	9	
computer / hardware / software	57			100000	6	
computer / hardware / software	58			100000	6	
computer / hardware / software	59	90000	4	80000	4	
computer / hardware / software	60	150000	2	150000	7	
computer / hardware / software	61			80000	4	
computer / hardware / software	62	50000	4	70000	5	
computer / hardware / software	63			100000	4	
computer / hardware / software	64			100000	6	
construction / craftsmanship	18			20000	1	
construction / craftsmanship	20			30000	16	
construction / craftsmanship	21			45000	9	
construction / craftsmanship	22			50000	23	
construction / craftsmanship	23			40000	36	
construction / craftsmanship	24	30000	1	25000	28	
construction / craftsmanship	25			40000	44	
construction / craftsmanship	26			40000	44	
construction / craftsmanship	27	20000	8	50000	50	
construction / craftsmanship	28			50000	32	
construction / craftsmanship	29	40000	5	60000	51	
construction / craftsmanship	30	20000	3	50000	48	
construction / craftsmanship	31			50000	27	
construction / craftsmanship	32			60000	42	
construction / craftsmanship	33	50000	5	50000	33	
construction / craftsmanship	34			50000	26	
construction / craftsmanship	35			50000	30	
