word,male,male_ratio,female,female_ratio,female_male_ratio
dress,395,0.011024589,717,0.029730066,2.696705145
girl,1932,0.0539228,3282,0.136086578,2.523729814
men,557,0.015546066,919,0.0381059,2.451160333
yoga,746,0.020821123,1169,0.048472032,2.328022039
independ,841,0.023472606,1279,0.05303313,2.259362688
garden,393,0.010968768,579,0.024007961,2.18875634
sweet,718,0.020039633,1053,0.043662147,2.178789786
silli,855,0.023863351,1168,0.048430568,2.029495682
laughter,399,0.01113623,506,0.020981051,1.884035253
danc,2770,0.077311675,3499,0.14508438,1.876616701
sing,728,0.020318736,910,0.03773272,1.857040677
market,486,0.013564431,606,0.025127503,1.852455391
children,547,0.015266963,682,0.028278807,1.852287739
warm,719,0.020067543,889,0.036861965,1.836894756
spirit,490,0.013676072,601,0.024920181,1.822173791
compassion,477,0.013313238,582,0.024132355,1.812658573
sexi,439,0.012252645,532,0.022059128,1.800356519
color,372,0.010382651,447,0.018534644,1.785155231
dog,1331,0.037148678,1598,0.066260314,1.783651992
ocean,544,0.015183231,642,0.026620226,1.753264874
museum,591,0.016495018,694,0.028776382,1.744549888
mom,418,0.011666527,490,0.020317618,1.74153097
laugh,3981,0.111111111,4662,0.193307625,1.739768628
famili,3547,0.098998018,4151,0.172119252,1.738613104
affection,376,0.010494292,440,0.018244392,1.738506166
tattoo,375,0.010466382,429,0.017788282,1.699563627
absolut,513,0.014318011,582,0.024132355,1.685454462
glass,476,0.013285328,540,0.022390845,1.685381455
cute,374,0.010438472,423,0.017539495,1.680274238
amp,2211,0.061709788,2480,0.102832027,1.666381141
joy,473,0.013201596,528,0.02189327,1.658380511
shop,547,0.015266963,608,0.025210432,1.651306371
readi,651,0.018169639,722,0.029937389,1.647660054
paint,462,0.012894583,510,0.021146909,1.639983974
ground,468,0.013062045,516,0.021395696,1.63800511
energet,367,0.010243099,403,0.016710204,1.631362164
wine,1475,0.041167769,1602,0.066426172,1.613548021
cat,680,0.018979039,730,0.030269105,1.594870228
love,26032,0.726562282,27793,1.152423602,1.586131885
anim,1049,0.029277959,1117,0.046315877,1.581936653
appreci,1703,0.047531329,1807,0.0749264,1.576358193
inspir,553,0.015434425,582,0.024132355,1.563540939
theater,450,0.012559658,471,0.019529792,1.55496206
fashion,413,0.011526975,431,0.017871211,1.550381659
surround,491,0.013703983,511,0.021188373,1.546147105
communiti,604,0.016857853,628,0.026039723,1.544664298
dinner,871,0.024309917,903,0.037442468,1.54021376
support,517,0.014429652,527,0.021851806,1.514368181
heart,2037,0.056853387,2073,0.085955965,1.511888198
happi,2738,0.076418544,2785,0.115478708,1.511134634
easili,629,0.017555611,639,0.026495833,1.509251501
adventur,3775,0.105361579,3831,0.158850603,1.507671064
super,649,0.018113818,655,0.027159265,1.499367203
favorit,1981,0.055290407,1999,0.08288759,1.499131474
health,419,0.011694437,422,0.01749803,1.496269529
beauti,1619,0.04518686,1626,0.067421321,1.492055906
loyal,1061,0.029612883,1061,0.043993863,1.485632541
amaz,1334,0.03723241,1330,0.055147821,1.481177871
water,833,0.023249323,830,0.034415557,1.480282124
spiritu,724,0.020207095,716,0.029688601,1.469216712
swim,748,0.020876943,738,0.030600821,1.465771144
truli,549,0.015322783,540,0.022390845,1.46127791
hair,553,0.015434425,543,0.022515238,1.458767577
partner,1476,0.041195679,1437,0.059584525,1.446378023
honesti,552,0.015406514,535,0.022183522,1.439879365
curious,1080,0.03014318,1045,0.043330431,1.437487042
connect,1316,0.036730023,1266,0.052494091,1.429187536
hike,3182,0.08881074,3048,0.126383879,1.423069763
lover,794,0.022160819,759,0.031471576,1.420144961
drama,565,0.015769349,540,0.022390845,1.419896588
wear,729,0.020346647,695,0.028817846,1.416343781
spontan,1108,0.03092467,1056,0.043786541,1.415909715
pleas,1126,0.031427056,1067,0.04424265,1.407788563
sensit,399,0.01113623,378,0.015673591,1.407441355
incred,447,0.012475927,423,0.017539495,1.405867036
soul,700,0.019537246,662,0.027449517,1.404983918
communic,803,0.022412013,757,0.031388647,1.400527813
friendship,640,0.017862625,603,0.02500311,1.39974441
sun,518,0.014457562,488,0.020234689,1.399592047
import,2622,0.073180943,2467,0.102292988,1.397809107
valu,1306,0.03645092,1228,0.050918439,1.396904105
organ,498,0.013899355,466,0.01932247,1.390170209
commit,484,0.01350861,452,0.018741966,1.387408902
alon,557,0.015546066,520,0.021561554,1.386945999
